loanamount,totaldue,termdays,referred,bank_account_type,longitude_gps,latitude_gps,bank_name_clients,employment_status_clients,age_group,payment_status,avg_credit_score,loan_approval_time_min,loan_counts,max_loan_amount,avg_loan_amount,repayment_ratio,loan_default_risk
10000.0,13000.0,30,False,Savings,3.8710285,7.307713,First Bank,Permanent,36-50,on_time,424.0,61.0,2,10000.0,10000.0,1.3,1
10000.0,13000.0,30,False,Savings,7.4847391,8.9966162,UBA,Permanent,36-50,on_time,418.0,60.0,2,10000.0,10000.0,1.15,1
40000.0,48000.0,60,False,Savings,3.3427681,6.5094142,GT Bank,Self-Employed,36-50,late,414.0,60.0,8,30000.0,17143.0,1.15,1
40000.0,44000.0,30,False,Other,3.4339027,6.8257862,GT Bank,Unemployed,51-65,late,416.0,60.0,17,40000.0,27500.0,1.1,1
20000.0,22250.0,15,False,Savings,-2.9799497,56.464013,Zenith Bank,Student,26-35,on_time,419.0,60.0,4,10000.0,10000.0,1.15,0
30000.0,34500.0,30,False,Savings,7.4941013,8.9654194,First Bank,Permanent,51-65,late,409.0,60.0,12,30000.0,20000.0,1.15,1
30000.0,34500.0,30,False,Other,8.3232966,4.9612435,GT Bank,Self-Employed,36-50,late,411.0,60.0,12,30000.0,19091.0,1.15,0
40000.0,48000.0,60,False,Savings,3.1696445,6.6879675,Stanbic IBTC,Permanent,36-50,late,412.0,60.0,12,40000.0,20909.0,1.2,1
30000.0,39000.0,60,False,Savings,3.9628733,7.3864283,UBA,Permanent,36-50,on_time,418.0,60.0,7,20000.0,15000.0,1.15,1
30000.0,39000.0,60,False,Savings,6.785373,6.1538848,Fidelity Bank,Permanent,36-50,on_time,422.0,60.0,5,20000.0,15000.0,1.225,1
10000.0,13000.0,30,False,Savings,3.8485124,7.3684474,Access Bank,Permanent,36-50,late,424.0,61.0,2,10000.0,10000.0,1.3,1
10000.0,13000.0,30,False,Savings,3.3562934,6.5295153,GT Bank,Unemployed,36-50,late,407.0,60.0,8,20000.0,14286.0,1.225,1
30000.0,34500.0,30,False,Savings,3.4575733,6.8170067,GT Bank,Permanent,26-35,on_time,416.0,61.0,6,20000.0,14000.0,1.1125,1
10000.0,13000.0,30,False,Savings,3.1941288,6.5054402,UBA,Student,26-35,on_time,418.0,61.0,2,10000.0,10000.0,1.15,1
20000.0,24500.0,30,False,Savings,3.3704039,6.5613766,GT Bank,Permanent,36-50,on_time,415.0,60.0,6,20000.0,14000.0,1.2,1
10000.0,13000.0,30,False,Savings,3.5754168,6.8846432,UBA,Permanent,36-50,on_time,424.0,61.0,2,10000.0,10000.0,1.3,1
10000.0,13000.0,30,False,Other,6.5298068,9.6558677,Diamond Bank,Permanent,36-50,on_time,418.0,60.0,2,10000.0,10000.0,1.15,1
30000.0,34500.0,30,False,Savings,3.0422946,7.0111402,First Bank,Permanent,36-50,late,417.0,60.0,8,30000.0,17143.0,1.15,1
30000.0,34500.0,30,False,Other,3.3296052,6.6641726,Diamond Bank,Self-Employed,36-50,on_time,411.0,60.0,11,30000.0,18000.0,1.225,1
30000.0,34500.0,30,False,Other,8.3422141,4.9916379,UBA,Self-Employed,36-50,on_time,408.0,60.0,12,30000.0,20000.0,1.225,0
20000.0,24500.0,30,False,Savings,3.3189105,6.475366,Diamond Bank,Permanent,36-50,on_time,420.0,60.0,6,20000.0,14000.0,1.3,1
15000.0,16687.5,15,False,Savings,3.0761816,6.5206408,Wema Bank,Permanent,51-65,late,405.0,60.0,8,15000.0,11429.0,1.145,1
50000.0,52500.0,30,False,Other,3.4569749,6.4445183,Access Bank,Permanent,36-50,on_time,413.0,137.0,15,40000.0,30000.0,1.1466666666666667,1
30000.0,34500.0,30,False,Savings,7.4031311,9.0338175,GT Bank,Permanent,36-50,on_time,416.0,61.0,9,25000.0,17500.0,1.19,1
10000.0,13000.0,30,True,Savings,3.2987679,6.6817293,Sterling Bank,Permanent,36-50,on_time,424.0,60.0,2,10000.0,10000.0,1.3,1
10000.0,13000.0,30,True,Savings,7.42814,10.5155267,Access Bank,Permanent,26-35,on_time,424.0,61.0,2,10000.0,10000.0,1.3,1
10000.0,13000.0,30,False,Savings,3.5643465,6.4670586,Zenith Bank,unknown,36-50,on_time,424.0,61.0,2,10000.0,10000.0,1.3,1
10000.0,13000.0,30,False,Savings,3.9192159,6.834497,Access Bank,Permanent,36-50,on_time,424.0,60.0,2,10000.0,10000.0,1.3,1
10000.0,13000.0,30,False,Savings,3.3329005,6.5848311,Skye Bank,Permanent,36-50,on_time,425.0,60.0,3,10000.0,10000.0,1.3,1
40000.0,44000.0,30,False,Savings,4.5164514,7.5221913,Access Bank,Student,26-35,late,416.0,60.0,9,30000.0,18750.0,1.2266666666666666,1
10000.0,11500.0,15,False,Savings,7.9308565,5.0315413,Access Bank,Permanent,36-50,on_time,415.0,61.0,4,10000.0,10000.0,1.15,1
10000.0,13000.0,30,True,Savings,7.3739783,8.9866,GT Bank,Permanent,26-35,on_time,430.0,61.0,2,10000.0,10000.0,1.3,1
10000.0,11500.0,15,False,Savings,7.5247928,6.4143695,Diamond Bank,Permanent,51-65,on_time,418.0,60.0,2,10000.0,10000.0,1.15,1
10000.0,13000.0,30,False,Savings,3.516056,6.6697184,Access Bank,Permanent,26-35,on_time,424.0,61.0,2,10000.0,10000.0,1.3,1
10000.0,13000.0,30,False,Savings,3.2906601,6.5762048,GT Bank,Unemployed,36-50,on_time,424.0,61.0,2,10000.0,10000.0,1.3,1
10000.0,13000.0,30,False,Savings,6.9935739,4.787991,Access Bank,Permanent,36-50,on_time,424.0,61.0,2,10000.0,10000.0,1.3,0
20000.0,22250.0,15,False,Savings,5.74397,5.5321806,UBA,Permanent,26-35,late,414.0,60.0,5,20000.0,12500.0,1.15,1
10000.0,13000.0,30,True,Savings,4.4920481,8.4683092,GT Bank,Permanent,36-50,on_time,424.0,61.0,2,10000.0,10000.0,1.3,1
40000.0,48000.0,60,False,Savings,3.2907677,6.5763859,Stanbic IBTC,Permanent,36-50,late,417.0,60.0,9,40000.0,27500.0,1.19,1
20000.0,22250.0,15,False,Savings,3.4585124,6.4391929,GT Bank,Permanent,36-50,on_time,419.0,60.0,4,10000.0,10000.0,1.3,1
10000.0,11500.0,15,True,Savings,3.8715045,7.4209592,Access Bank,unknown,36-50,on_time,418.0,60.0,2,10000.0,10000.0,1.15,1
10000.0,11500.0,15,True,Savings,6.975335,4.8818767,Access Bank,Permanent,51-65,on_time,423.0,60.0,3,10000.0,10000.0,1.3,1
10000.0,13000.0,30,False,Savings,3.3399935,6.6387534,GT Bank,Permanent,36-50,late,402.0,60.0,2,10000.0,10000.0,1.3,1
20000.0,24500.0,30,False,Savings,7.081465,4.847945,GT Bank,Permanent,36-50,on_time,418.0,60.0,5,20000.0,12500.0,1.15,1
20000.0,24500.0,30,False,Savings,3.39221,6.5391844,Diamond Bank,Permanent,36-50,on_time,421.0,60.0,4,10000.0,10000.0,1.3,1
40000.0,44000.0,30,False,Savings,8.5754049,12.0086534,Stanbic IBTC,Permanent,36-50,on_time,412.0,60.0,11,40000.0,26500.0,1.1466666666666667,0
10000.0,13000.0,30,False,Savings,3.3255983,7.1194033,Sterling Bank,Permanent,36-50,late,416.0,61.0,2,10000.0,10000.0,1.3,0
10000.0,13000.0,30,False,Savings,3.3238605,7.1142931,First Bank,Permanent,36-50,late,430.0,60.0,2,10000.0,10000.0,1.3,0
20000.0,24500.0,30,False,Savings,3.3768426,6.5578572,Stanbic IBTC,unknown,36-50,on_time,419.0,60.0,4,10000.0,10000.0,1.3,0
10000.0,13000.0,30,False,Savings,5.2191494,7.2108393,Access Bank,Permanent,36-50,late,416.0,60.0,2,10000.0,10000.0,1.3,0
10000.0,11500.0,15,False,Other,7.0123508,4.7531198,Sterling Bank,Permanent,36-50,late,402.0,60.0,3,10000.0,7500.0,1.15,1
50000.0,52500.0,30,False,Other,3.1260613,6.6778432,GT Bank,Self-Employed,36-50,late,416.0,60.0,18,50000.0,30000.0,1.19,1
30000.0,34500.0,30,False,Savings,3.3813132,6.4939532,Zenith Bank,Permanent,26-35,on_time,417.0,60.0,7,20000.0,15000.0,1.225,1
20000.0,22250.0,15,False,Savings,3.5410367,6.733155,Skye Bank,Permanent,36-50,on_time,404.0,61.0,12,20000.0,10909.0,1.15,0
10000.0,13000.0,30,False,Savings,3.3016329,6.5212034,GT Bank,Permanent,36-50,on_time,425.0,60.0,3,10000.0,10000.0,1.3,1
10000.0,13000.0,30,False,Other,3.5541342,6.6105681,Access Bank,Permanent,36-50,on_time,422.0,60.0,3,10000.0,10000.0,1.3,1
30000.0,39000.0,60,False,Savings,3.3232994,6.627701,GT Bank,Permanent,36-50,on_time,414.0,60.0,7,20000.0,13333.0,1.225,1
20000.0,21750.0,15,False,Savings,3.3484849,6.6348512,Diamond Bank,unknown,36-50,late,416.0,60.0,5,20000.0,12500.0,1.15,1
10000.0,11500.0,15,False,Savings,8.3163457,5.0481816,GT Bank,unknown,36-50,late,422.0,60.0,3,10000.0,10000.0,1.3,0
20000.0,24500.0,30,False,Other,3.2972894,6.6627479,GT Bank,Permanent,36-50,on_time,418.0,60.0,5,20000.0,12500.0,1.225,1
10000.0,13000.0,30,False,Other,7.4881394,8.9752501,Diamond Bank,Permanent,26-35,on_time,418.0,61.0,2,10000.0,10000.0,1.15,0
10000.0,12250.0,30,False,Savings,7.4527967,10.4446483,Access Bank,unknown,36-50,on_time,421.0,60.0,4,10000.0,10000.0,1.3,1
10000.0,13000.0,30,False,Savings,3.4446285,6.8397571,First Bank,Permanent,36-50,late,413.0,61.0,5,10000.0,10000.0,1.3,1
20000.0,24500.0,30,False,Savings,7.4654217,9.08262,EcoBank,Permanent,36-50,on_time,418.0,60.0,6,20000.0,14000.0,1.3,1
10000.0,11500.0,15,False,Savings,3.3572047,6.6736015,GT Bank,Permanent,26-35,on_time,418.0,253.0,2,10000.0,10000.0,1.15,1
15000.0,18375.0,30,False,Savings,6.992216,4.8309534,UBA,Permanent,36-50,on_time,417.0,60.0,4,10000.0,10000.0,1.15,1
10000.0,11500.0,15,False,Savings,3.3527862,6.5081435,Access Bank,Permanent,36-50,on_time,418.0,61.0,2,10000.0,10000.0,1.15,1
10000.0,13000.0,30,True,Savings,3.3822099,6.541528,GT Bank,Permanent,36-50,on_time,424.0,120.0,2,10000.0,10000.0,1.3,1
30000.0,34500.0,30,False,Savings,3.3333825,7.1453259,GT Bank,Permanent,36-50,on_time,415.0,60.0,8,30000.0,17143.0,1.19,1
10000.0,11500.0,15,False,Other,3.3960986,6.5525789,Access Bank,Permanent,36-50,late,418.0,61.0,2,10000.0,10000.0,1.15,1
30000.0,39000.0,60,False,Savings,7.4450653,9.0768353,Zenith Bank,unknown,26-35,on_time,419.0,60.0,7,20000.0,15000.0,1.225,1
40000.0,44000.0,30,False,Savings,3.2663346,6.5193908,First Bank,Permanent,36-50,late,417.0,60.0,12,40000.0,28182.0,1.12,1
10000.0,11500.0,15,False,Savings,3.2518396,6.462774,GT Bank,Permanent,36-50,late,406.0,60.0,4,10000.0,10000.0,1.15,0
10000.0,13000.0,30,False,Savings,3.3576273,6.6156295,Skye Bank,Permanent,36-50,late,418.0,61.0,2,10000.0,10000.0,1.15,1
30000.0,39000.0,60,False,Other,3.2701279,6.5798375,UBA,Permanent,36-50,late,408.0,60.0,10,30000.0,23333.0,1.3,1
10000.0,13000.0,30,False,Savings,3.2858723,6.6848185,UBA,Permanent,36-50,on_time,419.0,61.0,3,10000.0,10000.0,1.15,1
30000.0,34500.0,30,False,Savings,7.34362,9.1514167,Stanbic IBTC,Permanent,36-50,on_time,420.0,60.0,6,20000.0,14000.0,1.225,1
20000.0,24500.0,30,False,Savings,3.2949539,6.6100043,Keystone Bank,Permanent,36-50,late,414.0,60.0,6,20000.0,14000.0,1.15,1
10000.0,13000.0,30,False,Savings,7.6066558,9.0236601,Skye Bank,Permanent,36-50,on_time,424.0,61.0,2,10000.0,10000.0,1.3,1
30000.0,34500.0,30,False,Savings,5.2071219,7.2298362,FCMB,Permanent,36-50,late,414.0,60.0,9,30000.0,16250.0,1.15,1
10000.0,13000.0,30,False,Savings,3.5930051,6.4966842,First Bank,Permanent,36-50,on_time,424.0,61.0,2,10000.0,10000.0,1.3,1
10000.0,13000.0,30,True,Savings,3.4823154,6.4275138,GT Bank,Permanent,36-50,late,420.0,60.0,3,10000.0,10000.0,1.3,1
20000.0,24500.0,30,False,Savings,3.4905746,6.438789,Diamond Bank,Permanent,36-50,late,411.0,60.0,7,20000.0,13333.0,1.15,1
10000.0,13000.0,30,False,Savings,3.1270017,6.6744999,First Bank,Permanent,51-65,late,416.0,60.0,2,10000.0,10000.0,1.3,1
10000.0,13000.0,30,False,Savings,7.027062,4.8300052,Diamond Bank,Permanent,36-50,on_time,424.0,60.0,2,10000.0,10000.0,1.3,1
10000.0,11500.0,15,False,Savings,3.3473632,6.5972101,GT Bank,Permanent,36-50,on_time,418.0,61.0,2,10000.0,10000.0,1.15,1
10000.0,13000.0,30,True,Savings,3.2975096,6.6020294,GT Bank,Permanent,26-35,late,423.0,60.0,3,10000.0,10000.0,1.15,0
20000.0,22250.0,15,False,Savings,7.4026336,10.5292298,Access Bank,Permanent,36-50,late,416.0,60.0,3,10000.0,10000.0,1.15,0
10000.0,13000.0,30,False,Savings,4.5306913,7.757783,GT Bank,Permanent,36-50,on_time,424.0,61.0,2,10000.0,10000.0,1.3,0
10000.0,13000.0,30,False,Savings,3.9787919,7.3898717,First Bank,unknown,26-35,late,430.0,61.0,2,10000.0,10000.0,1.3,0
10000.0,11500.0,15,False,Savings,3.3248839,6.4882979,GT Bank,Permanent,36-50,late,396.0,60.0,4,10000.0,10000.0,1.15,0
30000.0,34500.0,30,False,Other,3.3670765,6.5692471,EcoBank,Permanent,36-50,late,416.0,60.0,11,30000.0,19000.0,1.15,0
10000.0,13000.0,30,False,Savings,3.4787141,6.6151351,GT Bank,Permanent,26-35,on_time,412.0,60.0,4,10000.0,10000.0,1.3,0
20000.0,24500.0,30,False,Other,3.3137109,6.6492708,GT Bank,Self-Employed,36-50,late,402.0,61.0,13,20000.0,11667.0,1.225,1
10000.0,11500.0,15,False,Savings,7.0257568,4.8364665,Fidelity Bank,Permanent,51-65,late,419.0,60.0,7,10000.0,10000.0,1.3,1
50000.0,52500.0,30,False,Savings,3.2872317,6.5925733,GT Bank,Self-Employed,36-50,on_time,414.0,60.0,11,50000.0,23400.0,1.1,1
10000.0,11000.0,30,False,Other,3.3767344,6.5477946,Stanbic IBTC,Unemployed,36-50,late,415.0,60.0,13,30000.0,17083.0,1.15,1
10000.0,11500.0,30,False,Other,7.4572617,9.005805,Fidelity Bank,Permanent,26-35,late,415.0,60.0,6,20000.0,14000.0,1.1125,1
10000.0,13000.0,30,False,Savings,3.4617967,6.42786,Zenith Bank,Permanent,36-50,on_time,424.0,61.0,2,10000.0,10000.0,1.3,1
10000.0,11500.0,15,True,Savings,3.3029379,6.6263662,First Bank,unknown,36-50,late,417.0,60.0,3,10000.0,10000.0,1.15,0
20000.0,24500.0,30,False,Savings,7.6116831,12.9773078,Diamond Bank,Permanent,36-50,late,416.0,60.0,5,20000.0,12500.0,1.15,1
10000.0,13000.0,30,True,Savings,3.3982718,6.4489034,UBA,unknown,26-35,on_time,418.0,60.0,2,10000.0,10000.0,1.15,1
20000.0,24500.0,30,False,Other,3.3271381,6.495763,Zenith Bank,Permanent,36-50,on_time,410.0,60.0,4,15000.0,11667.0,1.15,1
10000.0,13000.0,30,False,Savings,7.9117961,5.0372535,EcoBank,Permanent,36-50,on_time,424.0,60.0,2,10000.0,10000.0,1.3,1
10000.0,11500.0,15,False,Savings,6.1429231,6.7377853,Zenith Bank,Permanent,26-35,on_time,418.0,61.0,2,10000.0,10000.0,1.15,1
10000.0,11500.0,15,False,Savings,3.3603715,6.4357419,Fidelity Bank,Permanent,36-50,on_time,397.0,61.0,4,10000.0,10000.0,1.15,1
30000.0,34500.0,30,False,Savings,3.4258698,6.4301778,First Bank,Permanent,51-65,on_time,417.0,61.0,7,30000.0,20000.0,1.15,1
10000.0,13000.0,30,False,Savings,5.2199203,7.6360513,EcoBank,Permanent,36-50,on_time,424.0,61.0,2,10000.0,10000.0,1.3,1
30000.0,39000.0,60,False,Other,7.1125429,4.9024769,EcoBank,Self-Employed,36-50,on_time,413.0,60.0,10,40000.0,22222.0,1.16,1
10000.0,11500.0,15,True,Savings,3.8682345,7.3814232,GT Bank,Permanent,36-50,on_time,417.0,60.0,3,10000.0,10000.0,1.15,1
10000.0,13000.0,30,False,Savings,3.3625978,6.5888607,GT Bank,Permanent,36-50,on_time,412.0,60.0,3,10000.0,10000.0,1.3,1
10000.0,11500.0,15,False,Savings,7.0441028,4.8116446,GT Bank,Permanent,26-35,on_time,424.0,61.0,2,10000.0,10000.0,1.3,1
10000.0,11500.0,15,False,Savings,3.3989022,6.4498967,GT Bank,Permanent,36-50,on_time,418.0,61.0,2,10000.0,10000.0,1.15,1
20000.0,24500.0,30,True,Savings,3.3288985,6.507412,First Bank,Permanent,26-35,late,421.0,60.0,4,10000.0,10000.0,1.15,0
30000.0,39000.0,60,False,Other,3.3768682,6.5310263,GT Bank,Student,26-35,on_time,419.0,60.0,10,40000.0,23333.0,1.225,1
20000.0,24500.0,30,False,Savings,3.3535331,6.703723,UBA,Permanent,36-50,on_time,423.0,60.0,4,20000.0,13333.0,1.3,1
10000.0,13000.0,30,False,Savings,3.6128002,6.4816779,Zenith Bank,Permanent,36-50,late,407.0,60.0,5,10000.0,10000.0,1.3,1
10000.0,13000.0,30,False,Savings,3.5141362,6.4515404,GT Bank,Student,26-35,on_time,418.0,61.0,2,10000.0,10000.0,1.15,1
30000.0,39000.0,60,False,Savings,3.3528548,6.5422168,UBA,Permanent,36-50,on_time,416.0,60.0,9,30000.0,18750.0,1.19,1
30000.0,39000.0,60,False,Other,3.9234333,7.430623,Skye Bank,Self-Employed,26-35,late,417.0,60.0,9,30000.0,15000.0,1.3,1
10000.0,13000.0,30,False,Savings,4.0079063,7.4250565,Sterling Bank,Permanent,36-50,late,418.0,61.0,2,10000.0,10000.0,1.15,1
20000.0,24500.0,30,False,Savings,4.5816276,8.4867694,First Bank,Permanent,36-50,on_time,416.0,60.0,5,20000.0,12500.0,1.1125,1
10000.0,11500.0,15,False,Savings,3.3446901,6.5544168,Diamond Bank,Permanent,36-50,late,418.0,61.0,2,10000.0,10000.0,1.15,1
10000.0,11500.0,15,False,Savings,3.3496532,6.4972031,GT Bank,Permanent,36-50,on_time,408.0,60.0,4,10000.0,10000.0,1.15,1
20000.0,22250.0,15,False,Savings,7.421629,9.1070126,Access Bank,Unemployed,36-50,on_time,418.0,60.0,6,20000.0,14000.0,1.3,1
20000.0,24500.0,30,True,Savings,3.4168724,6.7510385,Zenith Bank,unknown,36-50,on_time,425.0,60.0,4,20000.0,13333.0,1.3,1
20000.0,24500.0,30,True,Savings,4.5284322,7.4893858,Access Bank,Permanent,36-50,on_time,418.0,60.0,5,20000.0,15000.0,1.225,1
30000.0,34500.0,30,False,Other,8.5394608,11.9796196,First Bank,Permanent,36-50,on_time,414.0,60.0,9,30000.0,18750.0,1.15,1
15000.0,17250.0,30,False,Savings,7.4102541,9.1122137,Wema Bank,unknown,36-50,late,412.0,60.0,7,15000.0,12500.0,1.1125,1
10000.0,13000.0,30,False,Savings,3.3922637,6.5737625,UBA,Permanent,26-35,late,425.0,60.0,3,10000.0,10000.0,1.3,1
10000.0,11500.0,15,False,Savings,5.2131294,7.2125532,Diamond Bank,unknown,36-50,on_time,412.0,60.0,5,20000.0,12500.0,1.15,1
10000.0,13000.0,30,True,Savings,3.3702298,6.6288104,Skye Bank,Permanent,36-50,on_time,424.0,61.0,2,10000.0,10000.0,1.3,1
50000.0,57500.0,90,False,Savings,7.7275822,11.0985096,Access Bank,Permanent,26-35,on_time,417.0,60.0,11,40000.0,27000.0,1.15,1
30000.0,34500.0,30,False,Other,3.296138,6.6630858,GT Bank,Self-Employed,36-50,on_time,415.0,60.0,6,20000.0,15000.0,1.15,1
10000.0,13000.0,30,False,Savings,6.2745432,4.9358492,Diamond Bank,Permanent,36-50,late,425.0,60.0,3,10000.0,10000.0,1.3,1
20000.0,24500.0,30,False,Savings,3.3394033,6.5161968,Stanbic IBTC,Permanent,36-50,on_time,422.0,60.0,6,20000.0,14000.0,1.225,1
10000.0,13000.0,30,False,Savings,4.5635709,7.4352078,Skye Bank,Permanent,26-35,late,414.0,60.0,4,10000.0,10000.0,1.3,1
10000.0,11500.0,15,False,Savings,4.7085967,8.1547883,GT Bank,Permanent,26-35,on_time,418.0,60.0,2,10000.0,10000.0,1.15,0
30000.0,34500.0,30,False,Other,7.0088917,4.898885,Diamond Bank,Retired,36-50,on_time,414.0,60.0,8,30000.0,20857.0,1.225,1
10000.0,13000.0,30,True,Savings,7.4208995,8.9442269,GT Bank,Permanent,36-50,on_time,412.0,60.0,3,10000.0,10000.0,1.3,1
